;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
1234;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1235;Ciencias Exactas;0;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1236;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1237;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1238;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1239;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1240;Ciencias Exactas;0;Desemp. Basico;0;0;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1241;Ciencias Agrarias;1;Desemp. Basico;0;0;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1242;Ciencias Exactas;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Enrolled
1243;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1244;Ciencias Exactas;0;Desemp. Basico;0;0;0;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
1245;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Muy Bajo;Unemployment R. Superior;B;GDP. Bajo;Dropout
1246;Ciencias Sociales;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1247;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1248;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1249;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1250;Ciencias Sociales;1;Desemp. Alto;1;1;0;MB;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
1251;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1252;Diseno;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Graduate
1253;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1254;Ciencias de la Salud;1;Desemp. Alto;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Enrolled
1255;Ciencias Agrarias;1;Desemp. Basico;1;1;1;MB;Desemp. Muy Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1256;Ciencias Sociales;1;Desemp. Bajo;1;1;0;MB;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Graduate
1257;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1258;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1259;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1260;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Graduate
1261;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1262;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1263;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Superior;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1264;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1265;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1266;Diseno;1;Desemp. Bajo;0;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1267;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1268;Ciencias Exactas;0;Desemp. Basico;0;1;0;IB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1269;Diseno;1;Desemp. Basico;0;1;0;B;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1270;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
1271;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1272;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1273;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Alto;Dropout
1274;Ciencias Exactas;0;Desemp. Basico;0;1;0;MB;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1275;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1276;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1277;Ciencias Exactas;1;Desemp. Basico;0;0;0;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1278;Ciencias Sociales;0;Desemp. Basico;0;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1279;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1280;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1281;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1282;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1283;Ciencias Exactas;1;Desemp. Alto;0;1;1;MB;Desemp. Superior;Unemployment R. Alto;B;GDP. Medio;Graduate
1284;Diseno;1;Desemp. Basico;0;1;1;MB;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1285;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Dropout
1286;Diseno;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Enrolled
1287;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1288;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1289;Ciencias de la Salud;1;Desemp. Bajo;1;1;0;B;Desemp. Alto;Unemployment R. Medio;B;GDP. Alto;Graduate
1290;Ciencias Exactas;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1291;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Alto;Unemployment R. Alto;A;GDP. Bajo;Graduate
1292;Ciencias Agrarias;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1293;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Alto;Graduate
1294;Ciencias Agrarias;1;Desemp. Alto;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1295;Ciencias Sociales;0;Desemp. Basico;0;1;0;B;Desemp. Muy Bajo;Unemployment R. Superior;B;GDP. Bajo;Dropout
1296;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1297;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Dropout
1298;Ciencias Exactas;0;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1299;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1300;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Dropout
1301;Ciencias Sociales;1;Desemp. Basico;1;0;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Alto;Dropout
1302;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1303;Diseno;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1304;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1305;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1306;Ciencias Agrarias;1;Desemp. Basico;0;1;1;B;Desemp. Alto;Unemployment R. Bajo;M;GDP. Alto;Graduate
1307;Ciencias Exactas;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1308;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1309;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1310;Ciencias Exactas;1;Desemp. Basico;1;1;0;IB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
1311;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Superior;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1312;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1313;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Dropout
1314;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1315;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1316;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1317;Ciencias Sociales;1;Desemp. Basico;1;0;1;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1318;Ciencias Sociales;1;Desemp. Basico;0;1;1;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1319;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1320;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1321;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1322;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1323;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1324;Ciencias Exactas;1;Desemp. Basico;1;1;0;IB;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Enrolled
1325;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
1326;Ciencias de la Salud;1;Desemp. Bajo;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1327;Ciencias Sociales;1;Desemp. Basico;1;0;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1328;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Alto;B;GDP. Medio;Graduate
1329;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Enrolled
1330;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1331;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Graduate
1332;Ciencias Agrarias;1;Desemp. Basico;0;0;0;B;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1333;Ciencias Sociales;1;Desemp. Bajo;1;1;0;B;Desemp. Bajo;Unemployment R. Superior;B;GDP. Bajo;Enrolled
1334;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1335;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Enrolled
1336;Ciencias de la Salud;1;Desemp. Basico;0;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1337;Ciencias Exactas;1;Desemp. Basico;1;0;1;MB;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Enrolled
1338;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1339;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1340;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1341;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1342;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Graduate
1343;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1344;Diseno;1;Desemp. Basico;1;0;1;MB;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
1345;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1346;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Graduate
1347;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1348;Ciencias de la Salud;1;Desemp. Basico;1;0;0;IB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Enrolled
1349;Ciencias de la Salud;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1350;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1351;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Alto;Unemployment R. Alto;A;GDP. Bajo;Graduate
1352;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1353;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1354;Ciencias Sociales;1;Desemp. Bajo;0;1;1;B;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Enrolled
1355;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Enrolled
1356;Ciencias Sociales;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1357;Ciencias Sociales;1;Desemp. Basico;0;0;0;B;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1358;Diseno;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1359;Ciencias Exactas;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1360;Ciencias Exactas;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Dropout
1361;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1362;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1363;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1364;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1365;Diseno;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1366;Ciencias Exactas;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Dropout
1367;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Graduate
1368;Ciencias Exactas;1;Desemp. Basico;1;1;0;B;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
1369;Diseno;1;Desemp. Bajo;0;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1370;Ciencias Sociales;0;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Graduate
1371;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Alto;Unemployment R. Alto;A;GDP. Bajo;Graduate
1372;Ciencias Sociales;1;Desemp. Bajo;0;1;0;B;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1373;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1374;Ciencias de la Salud;1;Desemp. Basico;0;0;0;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Dropout
1375;Diseno;1;Desemp. Bajo;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Dropout
1376;Ciencias Exactas;1;Desemp. Basico;1;1;0;MB;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Enrolled
1377;Diseno;1;Desemp. Basico;1;1;1;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1378;Diseno;1;Desemp. Basico;1;0;0;MB;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Dropout
1379;Ciencias Sociales;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1380;Ciencias de la Salud;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1381;Ciencias de la Salud;1;Desemp. Basico;1;0;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;B;GDP. Bajo;Dropout
1382;Ciencias Agrarias;1;Desemp. Basico;1;1;0;IB;Desemp. Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1383;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1384;Diseno;1;Desemp. Basico;1;1;1;MB;Desemp. Alto;Unemployment R. Superior;M;GDP. Muy Bajo;Graduate
1385;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
1386;Ciencias Agrarias;1;Desemp. Basico;1;0;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1387;Ciencias Exactas;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1388;Ciencias Exactas;1;Desemp. Basico;1;1;0;B;Desemp. Muy Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1389;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Enrolled
1390;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1391;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1392;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;B;GDP. Bajo;Dropout
1393;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1394;Ciencias Sociales;1;Desemp. Bajo;1;1;0;MB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
1395;Ciencias Sociales;1;Desemp. Bajo;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1396;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Superior;B;GDP. Bajo;Enrolled
1397;Diseno;1;Desemp. Basico;0;1;1;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1398;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1399;Ciencias Sociales;1;Desemp. Basico;0;1;1;MB;Desemp. Alto;Unemployment R. Superior;B;GDP. Bajo;Graduate
1400;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;B;GDP. Medio;Enrolled
1401;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1402;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Alto;Unemployment R. Bajo;M;GDP. Medio;Graduate
1403;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1404;Ciencias Exactas;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Superior;M;GDP. Muy Bajo;Dropout
1405;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1406;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1407;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Enrolled
1408;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Dropout
1409;Ciencias Exactas;1;Desemp. Basico;0;1;0;MB;Desemp. Bajo;Unemployment R. Alto;B;GDP. Medio;Graduate
1410;Ciencias Sociales;0;Desemp. Basico;0;1;0;MB;Desemp. Muy Bajo;Unemployment R. Medio;B;GDP. Alto;Dropout
1411;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1412;Diseno;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Graduate
1413;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1414;Ciencias de la Salud;1;Desemp. Basico;1;1;0;MB;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1415;Ciencias de la Salud;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Medio;Graduate
1416;Ciencias de la Salud;1;Desemp. Basico;0;0;0;MB;Desemp. Muy Bajo;Unemployment R. Alto;A;GDP. Bajo;Dropout
1417;Diseno;1;Desemp. Basico;0;1;0;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1418;Ciencias Exactas;1;Desemp. Basico;1;1;1;MB;Desemp. Bajo;Unemployment R. Medio;B;GDP. Alto;Graduate
1419;Ciencias Agrarias;1;Desemp. Bajo;0;1;0;B;Desemp. Basico;Unemployment R. Medio;B;GDP. Alto;Dropout
1420;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1421;Ciencias Exactas;1;Desemp. Basico;1;1;1;MB;Desemp. Bajo;Unemployment R. Bajo;B;GDP. Muy Bajo;Enrolled
1422;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Alto;Graduate
1423;Ciencias Sociales;1;Desemp. Basico;1;1;0;MB;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Graduate
1424;Ciencias Agrarias;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Alto;A;GDP. Bajo;Enrolled
1425;Diseno;1;Desemp. Basico;1;1;1;MB;Desemp. Muy Bajo;Unemployment R. Medio;M;GDP. Medio;Graduate
1426;Ciencias de la Salud;1;Desemp. Basico;0;1;0;B;Desemp. Basico;Unemployment R. Alto;B;GDP. Medio;Graduate
1427;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Enrolled
1428;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Alto;A;GDP. Bajo;Enrolled
1429;Ciencias Sociales;1;Desemp. Basico;1;1;1;MB;Desemp. Basico;Unemployment R. Bajo;M;GDP. Alto;Graduate
1430;Ciencias de la Salud;1;Desemp. Basico;1;1;1;B;Desemp. Basico;Unemployment R. Medio;M;GDP. Medio;Graduate
1431;Ciencias Sociales;1;Desemp. Basico;1;1;0;B;Desemp. Bajo;Unemployment R. Medio;M;GDP. Medio;Dropout
1432;Ciencias Sociales;1;Desemp. Basico;1;1;1;B;Desemp. Bajo;Unemployment R. Bajo;M;GDP. Medio;Enrolled
1433;Diseno;1;Desemp. Basico;1;1;0;MB;Desemp. Alto;Unemployment R. Alto;A;GDP. Bajo;Graduate
